Event Date,Type,Event,Location,Address,Borough,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
04/09/2018,RNY General Presentation (GEN),Public Hearing Meeting Queens Community Board 9,Union Plaza Care Center,"33-23 Union St., 9th Floor",Queens,11354,40.767278,-73.827156,407,20,1161,4112550,4049810009,Flushing
04/07/2018,RNY Fair (FAIR),1st Annual Autism Awareness Resource Fair,The Hutchinson Metro Center,1400 Waters Pl,Bronx,10461,40.843855,-73.839505,211,13,284,2116487,2042260030,Van Nest-Morris Park-Westchester Square
04/06/2018,RNY Fair (FAIR),CUNY Accessibility Conference,John Jay College,524 West 59th Street,Manhattan,10019,40.770794,-73.988534,104,6,147,1027084,1010870005,Lincoln Square
04/05/2018,RNY for Kids (KIDS),Ready Girl at Bring Your Kids to Work Day,Supreme Court,320 Jay St,Brooklyn,11201,40.694797,-73.987184,302,33,11,3347736,3001407502,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
04/05/2018,NYCEM 101 (NYCEM),Columbia Commons IPE Day of Action 2018,Columbia University,560 W 168 St,Manhattan,10032,40.840805,-73.939146,112,10,251,1062991,1021240035,Washington Heights South
04/02/2018,RNY General Presentation (GEN),RNY General Presentation,Greenwich House at Independence Plaza,310 Greenwich Street,Manhattan,10013,40.717604,-74.010667,101,1,39,1083243,1001420025,SoHo-TriBeCa-Civic Center-Little Italy
03/31/2018,RNY Fair/Presentation (FP),Life Enrichment Adventist Ministries (L.E.A.M.),Life Enrichment Adventist Ministries,2801 Church Avenue,Brooklyn,11226,40.650753,-73.950783,317,40,820,3116996,3050910071,Prospect Lefferts Gardens-Wingate
03/29/2018,RNY for Kids (KIDS),Ready Girl for Pre-K,"Village Child Development Center, Inc.",350 E 146 Street,Bronx,10451,40.81498,-73.920871,201,8,51,2000825,2023260030,Mott Haven-Port Morris
03/28/2018,RNY Fair (FAIR),Employee Health Fair,South Beach Psychiatric Center - Gym,777 Seaview ave,Staten Island,10305,40.579501,-74.078252,502,50,70,5111301,5033550001,Old Town-Dongan Hills-South Beach
03/28/2018,RNY General Presentation (GEN),RNY -  Person Care Services,Person Centered Care Services,150 Granite Ave,Staten Island,10303,40.633994,-74.148143,501,49,239,5090047,5011610150,Mariner's Harbor-Arlington-Port Ivory-Graniteville
03/28/2018,RNY Fair (FAIR),Community Event,The School of Cooperative Technical Education,321 E 96th St.,Manhattan,10128,40.783638,-73.945626,111,8,15602,1083927,1016680001,East Harlem South
03/27/2018,RNY for Kids (KIDS),P.S. 60 Assembly,P.S. 60,55 Merrill Avenue,Staten Island,10314,40.610087,-74.162216,502,50,29104,5031151,5015800044,New Springville-Bloomfield-Travis
03/26/2018,RNY General Presentation (GEN),Ready NY Presentation,Greenwich House,20 Washington square north,Manhattan,10011,40.731781,-73.997705,102,1,63,1008851,1005510008,West Village
03/24/2018,RNY Fair (FAIR),Second Annual HALA Family Day,Hillside Arts and Letters Academy High School,167-01 Gothic Drive,Queens,11432,40.713218,-73.797237,408,24,452,4448806,4098580100,Briarwood-Jamaica Hills
03/23/2018,RNY for Kids (KIDS),Career Day,LaSalle Academy,215 E. 6th Street,Manhattan,10003,40.727954,-73.98984,103,2,38,1006643,1004620004,East Village
03/23/2018,RNY for Kids (KIDS),Harlem Prep Elementary School 2nd Annual Career Day,Harlem Prep Elementary School,240 East 123rd Street,Manhattan,10035,40.801647,-73.935017,111,8,194,1054629,1017870080,East Harlem North
03/22/2018,RNY for Kids (KIDS),Ready Girl for Pre-K,District 24 Pre-K Center at Myrtle Ave,68-20 Myrtle Ave,Queens,11385,40.701684,-73.883891,405,30,629,4090330,4037030007,Glendale
03/22/2018,RNY Fair/Presentation (FP),Citizen Preparedness Training,McKinley Community Center,751 E 163 St,Bronx,10456,40.822935,-73.904021,203,16,133,,,Morrisania-Melrose
03/21/2018,RNY for Kids (KIDS),Ready NY for Boy Scouts,William H. Pouch Scout Camp,1465 Manor Road,Staten Island,10314,40.590578,-74.126552,502,50,181,5106964,5009370001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
03/20/2018,RNY General Presentation (GEN),Creating a Plan for NYC,Bank of America,One Bryant Park,Manhattan,10036,40.755338,-73.984201,105,4,119,1087268,1009950033,Midtown-Midtown South
03/20/2018,RNY General Presentation (GEN),RNY ESOL for Parents,PS 376,194 Harman St.,Brooklyn,11237,40.698021,-73.920711,304,37,431,3075072,3032870001,Bushwick North
03/19/2018,RNY General Presentation (GEN),RNY - Parents,PS/IS 184,273 Newport Street,Brooklyn,11212,40.659966,-73.904901,316,42,918,3082391,3036060001,Brownsville
03/17/2018,RNY Fair (FAIR),RNY Fair: Mental Health and Disabilities Health Fair,Sonia Sotomayor Center,1000 Rosedale Avenue,Bronx,10472,40.825259,-73.867705,209,18,44,2123862,2037250001,Soundview-Bruckner
03/17/2018,Train the Trainer (TOT),University Settlement Train the Trainer,University Settlement,175 Eldridge,Manhattan,,,,,,,,,
03/16/2018,RNY General Presentation (GEN),The Catholic Guild,Catholic Guild for the Blind,1011 1st Avenue,Manhattan,10022,40.757271,-73.963692,106,5,108,1039972,1013480023,Turtle Bay-East Midtown
03/16/2018,RNY for Kids (KIDS),Ready NY for Boy Scouts,Holy Trinity Lutheran Church Basement,4118 Avenue R,Brooklyn,11234,40.615462,-73.931179,318,46,652,3239430,3084850042,Georgetown-Marine Park-Bergen Beach-Mill Basin
03/15/2018,RNY General Presentation (GEN),Ready NY for Parents,Richmond Pre-K Center,120 Stuyvesant Pl.,Staten Island,10301,40.642992,-74.076954,501,49,3,5000084,5000080060,West New Brighton-New Brighton-St. George
03/15/2018,RNY Fair (FAIR),RNY Fair:CB14 Youth Conference,Flatbush YMCA,1401 Flatbush Ave,Brooklyn,11210,40.636511,-73.951539,314,45,788,3120877,3052280008,Flatbush
03/15/2018,RNY for Kids (KIDS),Ready Girl,Building Bridges,250 Cadman Plaza West,Brooklyn,11201,40.696897,-73.991356,302,33,502,3319420,3002380035,Brooklyn Heights-Cobble Hill
03/14/2018,RNY General Presentation (GEN),Emergency Prepardness,Brooklyn queens Nursing home,2749 Linden Blvd,Brooklyn,11208,40.669483,-73.862718,305,42,1208,3000000,3044690016,East New York
03/14/2018,RNY General Presentation (GEN),ALS Association Bronx Support Group,James J. Peters Veterans Administration Medical Center,130 West Kingsbridge Road,Bronx,10468,40.869073,-73.903069,207,14,261,2095229,2032260100,Kingsbridge Heights
03/14/2018,RNY General Presentation (GEN),RNY ESOL Presentation,YMCA Prospect Park,361 15th Street,Brooklyn,11215,40.662894,-73.983766,306,39,149,3026581,3011020012,Park Slope-Gowanus
03/14/2018,RNY for Kids (KIDS),Ready NY for Boy Scouts,William H. Pouch Scout Camp,1465 Manor Road,Staten Island,10314,40.590578,-74.126552,502,50,181,5106964,5009370001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill
03/13/2018,RNY for Kids (KIDS),Ready NY for Pre-K,District 24 Pre-K Center,80-55 Cornish Ave,Queens,11373,40.739115,-73.882487,404,25,485,4467710,4015380075,Elmhurst-Maspeth
03/13/2018,RNY for Kids (KIDS),Ready NY for Pre-K,District 24 Pre-K Center,46-16 76th Street,Queens,11373,40.740076,-73.888241,404,25,485,4038257,4015290073,Elmhurst-Maspeth
03/10/2018,RNY Fair (FAIR),Summer Camp Fair,Child Development Support Corporation,358 Classon Avenue,Brooklyn,11238,40.688259,-73.959892,302,35,231,3329897,3019480035,Clinton Hill
03/10/2018,RNY Fair/Presentation (FP),Citizen Preparedness Training,PS 117,"1865 Morris Ave, Auditorium",Bronx,10453,40.848547,-73.908416,205,14,23301,2007902,2028270001,Mount Hope
03/10/2018,RNY Fair (FAIR),Key to the City: Family Resource Day,JHS 162,1390 Willoughby Ave,Brooklyn,11237,40.707229,-73.919805,304,34,445,3073018,3032120001,Bushwick North
03/09/2018,RNY General Presentation (GEN),Emergency Preparedness,"At Dialysis Facility. Lower Level of Mall, below Regal Cinemas",8028 Cooper Avenue,Queens,11385,40.709767,-73.868605,405,30,637,4530758,4038100350,Glendale
03/09/2018,RNY for Kids (KIDS),Ready Girl,Public School 1,309 47th St.,Brooklyn,11220,40.649042,-74.012289,307,38,80,3011821,3007550022,Sunset Park West
